what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.gnu.ui",1332230356209
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1332230356482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230364448
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230368115
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230489153
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230494325
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230495247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230498836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230513594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230513951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230533962
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230536471
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230549638
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230551108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230553750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230556796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230628723
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332230630635
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332230630708
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1332230630709
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332230632363
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1332230632364
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230633327
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230673786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230675779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230677600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230680206
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230683267
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230684343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230743312
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332230746950
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230757220
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230833286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230833706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230840779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230842914
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230862123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332230863654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231027960
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231029544
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231035754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231039286
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231885795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231887645
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231894232
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332231930672
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332231930952
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332231931140
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332231932786
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332231933071
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332231933130
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332231934426
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332231934636
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332231955608
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332231955846
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332231955903
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1332231975345
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332231978926
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332231998564
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332232010651
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332232628357
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332232628619
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332237232765
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332237233189
error,log,,,"Problems saving workspace",1332237235511
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201109151620,"org.eclipse.cdt.build.crossgcc",1332237236091
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1332237236091
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers",1332237236092
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201109151620,"org.eclipse.cdt.codan.ui.cxx",1332237236094
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201109151620,"org.eclipse.cdt.codan.core.cxx",1332237236095
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201109151620,"org.eclipse.cdt.launch.remote",1332237236184
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201109151620,"org.eclipse.cdt.debug.mi.ui",1332237236250
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201109151620,"org.eclipse.cdt.debug.mi.core",1332237236298
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201109151620,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1332237236299
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201109151620,"org.eclipse.cdt.debug.ui.memory.search",1332237236301
